排行,片名,本週票房,累計票房
1,猛毒最終章：最後一舞 Venom: The Last Dance,$463,"$1,867"
2,懼裂 The Substance,$154,$635
3,劇場版 OVERLORD - 聖王國篇 Overlord: The Sacred Kingdom,$122,$122
4,荒野機器人 The Wild Robot,$112,$995
5,"鬼們之蝴蝶大廈 Them, Behind the Door",$86,$121
6,乒乓男孩 Doubles Match,$74,$307
7,鬼聲泣2 Death Whisperer 2,$69,$71
8,刀劍神域劇場版-序列爭戰 Sword Art Online The Movie: Ordinal Scale,$50,"$1,709"
9,小雁與吳愛麗 Yen and Ai-Lee,$30,$220
10,微笑 2 Smile 2,$27,$288
11,嵐 5x20演唱會電影～回憶全記錄～ ARASHI Anniversary Tour 5 X 20 FILM “Record of Memories”,$22,$317
12,小丑：雙重瘋狂 Joker: Folie a Deux,$18,"$2,371"
13,劊樂小丑3 Terrifier 3,$14,$85
14,我的英雄學院劇場版：You’re Next My Hero Academia: You're Next,$14,$745
15,危機航線 High Forces,$13,$396
16,為我辦一場西式的喪禮 See You,$13,$102
17,非普通家族 A Normal Family,$13,$13
18,鋼之鍊金術師BROTHERHOOD 15週年特別版 Fullmetal Alchemist: Brotherhood,$12,$58
19,布勒合唱團：溫布利球場演唱會 Blur: Live at Wembley Stadium,$12,$12
20,再見，福寶 My Dearest Fu Bao,$10,$672
